id,class,image_path,image_url,name,category,gender,retailer,deeplink,classification_source
LCW-3342496,shoe,public/products/lcwaikiki/lcw-3342496/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3342496/front.jpg,Siyah Sivri Burun Orta Kalın Topuklu Kadın Ayakkabı 38918,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/sivri-burun-orta-kalin-topuklu-kadin-ayakkabi-38918-siyah-o-3342496,type_default
LCW-3348838,shoe,public/products/lcwaikiki/lcw-3348838/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3348838/front.jpg,Siyah Kadın Topuklu Ayakkabı 39120,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/kadin-topuklu-ayakkabi-39120-siyah-o-3348838,type_default
LCW-3422865,shoe,public/products/lcwaikiki/lcw-3422865/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3422865/front.jpg,Kahverengi TABA-KAHVERENGİ  Hakiki Deri Küt Burun Kısa Kalın Topuklu Püsküllü Kadın Ayakkabı 13313,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/taba-kahverengi-hakiki-deri-kut-burun-kisa-kalin-topuklu-puskullu-kadin-ayakkabi-13313-kahverengi-o-3422865,type_default
LCW-3433864,shoe,public/products/lcwaikiki/lcw-3433864/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3433864/front.jpg,Gri GRİ  Hakiki Deri Küt Burun Kısa Kalın Topuklu Püsküllü Kadın Ayakkabı 13313,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/gri-hakiki-deri-kut-burun-kisa-kalin-topuklu-puskullu-kadin-ayakkabi-13313-gri-o-3433864,type_default
LCW-3802631,shoe,public/products/lcwaikiki/lcw-3802631/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3802631/front.jpg,R6542183 Bordo Kadın Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/r6542183-bordo-kadin-topuklu-ayakkabi-bordo-o-3802631,type_default
LCW-3802632,shoe,public/products/lcwaikiki/lcw-3802632/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3802632/front.jpg,R6542183 Siyah Kadın Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/r6542183-siyah-kadin-topuklu-ayakkabi-siyah-o-3802632,type_default
LCW-3857033,shoe,public/products/lcwaikiki/lcw-3857033/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3857033/front.jpg,Siyah SİYAH  Sivri Burun Kadeh Ökçe Arkası Açık Kadın Ayakkabı 38198,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/siyah-sivri-burun-kadeh-okce-arkasi-acik-kadin-ayakkabi-38198-siyah-o-3857033,type_default
LCW-3927990,shoe,public/products/lcwaikiki/lcw-3927990/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3927990/front.jpg,S2414140 Siyah Kadın Dolgu Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/s2414140-siyah-kadin-dolgu-topuklu-ayakkabi-siyah-o-3927990,type_default
LCW-3927991,shoe,public/products/lcwaikiki/lcw-3927991/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3927991/front.jpg,Bej S2414140 Ten Kadın Dolgu Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/s2414140-ten-kadin-dolgu-topuklu-ayakkabi-bej-o-3927991,type_default
LCW-3927992,shoe,public/products/lcwaikiki/lcw-3927992/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3927992/front.jpg,Karışık S2414140 Renkli Kadın Dolgu Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/s2414140-renkli-kadin-dolgu-topuklu-ayakkabi-karisik-o-3927992,type_default
LCW-3928545,shoe,public/products/lcwaikiki/lcw-3928545/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3928545/front.jpg,Gri S5180817 Gümüş Kadın Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/s5180817-gumus-kadin-topuklu-ayakkabi-gri-o-3928545,type_default
LCW-3928546,shoe,public/products/lcwaikiki/lcw-3928546/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3928546/front.jpg,Sarı S5180817 Bronz Kadın Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/s5180817-bronz-kadin-topuklu-ayakkabi-sari-o-3928546,type_default
LCW-3928653,shoe,public/products/lcwaikiki/lcw-3928653/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3928653/front.jpg,R6542183 Kırmızı Kadın Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/r6542183-kirmizi-kadin-topuklu-ayakkabi-kirmizi-o-3928653,type_default
LCW-3928706,shoe,public/products/lcwaikiki/lcw-3928706/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3928706/front.jpg,Bej R6542183 Ten Kadın Topuklu Ayakkabı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/r6542183-ten-kadin-topuklu-ayakkabi-bej-o-3928706,type_default
LCW-3954551,shoe,public/products/lcwaikiki/lcw-3954551/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3954551/front.jpg,AMIR I Kadın Sneaker Ayakkabı Gri,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/amir-i-kadin-sneaker-ayakkabi-gri-gri-o-3954551,type_default
LCW-3966420,shoe,public/products/lcwaikiki/lcw-3966420/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3966420/front.jpg,Bej 6319 Kadın Terlik,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/6319-kadin-terlik-bej-o-3966420,type_default
LCW-3966422,shoe,public/products/lcwaikiki/lcw-3966422/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3966422/front.jpg,Kahverengi 6319 Kadın Terlik,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/6319-kadin-terlik-kahverengi-o-3966422,type_default
LCW-3969047,shoe,public/products/lcwaikiki/lcw-3969047/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-3969047/front.jpg,Lacivert KOYU LACİVERT  Hakiki Deri Küt Burun Kısa Kalın Topuklu Püsküllü Kadın Ayakkabı 13313,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/koyu-lacivert-hakiki-deri-kut-burun-kisa-kalin-topuklu-puskullu-kadin-ayakkabi-13313-lacivert-o-3969047,type_default
LCW-4008566,shoe,public/products/lcwaikiki/lcw-4008566/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-4008566/front.jpg,AMIR I Kadın Koşu ve Yürüyüş Ayakkabı Beyaz,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/amir-i-kadin-kosu-ve-yuruyus-ayakkabi-beyaz-beyaz-o-4008566,type_default
LCW-4050505,shoe,public/products/lcwaikiki/lcw-4050505/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-4050505/front.jpg,Siyah SİYAH MELANJ  Hakiki Deri Küt Burun Kısa Kalın Topuklu Püsküllü Kadın Ayakkabı 13313,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/siyah-melanj-hakiki-deri-kut-burun-kisa-kalin-topuklu-puskullu-kadin-ayakkabi-13313-siyah-o-4050505,type_default
LCW-4079979,shoe,public/products/lcwaikiki/lcw-4079979/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-4079979/front.jpg,ZIPPER I Kadın Beyaz / Gri Günlük Spor Ayakkabısı,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/zipper-i-kadin-beyaz-gri-gunluk-spor-ayakkabisi-beyaz-o-4079979,type_default
LCW-4168430,shoe,public/products/lcwaikiki/lcw-4168430/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-4168430/front.jpg,ATOMIX Kadın Sneaker Ayakkabı Gri,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/atomix-kadin-sneaker-ayakkabi-gri-gri-o-4168430,type_default
LCW-4168431,shoe,public/products/lcwaikiki/lcw-4168431/front.jpg,https://moda-ruby.vercel.app/products/lcwaikiki/lcw-4168431/front.jpg,ATOMIX Kadın Sneaker Ayakkabı Siyah / Beyaz,ayakkabi,kadin,lcwaikiki,https://www.lcw.com/atomix-kadin-sneaker-ayakkabi-siyah-beyaz-siyah-o-4168431,type_default
